ts,avg_nb_vehicules_in_per_hour,nb_trucks_in,nb_cars_in,avg_waiting_in,avg_nb_vehicules_out_per_hour,nb_trucks_out,nb_cars_out,avg_waiting_out,avg_temperature,pressure,precipitation_MM,windspeed_Kmph
2020-01-01 00:00:00+01:00,69,8,61,8.03614801962393,60,6,54,13.20628140081713,4,1032,0.0,6
2020-01-01 01:00:00+01:00,45,5,40,6.873871357402149,43,4,39,7.555366152542149,4,1032,0.0,6
2020-01-01 02:00:00+01:00,45,6,39,6.873871357402149,43,4,39,7.555366152542149,4,1032,0.0,6
2020-01-01 03:00:00+01:00,69,9,60,8.03614801962393,60,6,54,13.20628140081713,4,1032,0.0,6
2020-01-01 04:00:00+01:00,116,14,102,18.218284224266565,102,10,92,15.767603823718561,4,1032,0.0,6
2020-01-01 05:00:00+01:00,204,26,178,18.97564860124531,207,25,182,19.46313193794564,4,1032,0.0,6
2020-01-01 06:00:00+01:00,255,29,226,18.276992505016963,236,28,208,11.423053117408324,4,1032,0.0,6
2020-01-01 07:00:00+01:00,393,45,348,11.209446952834304,381,43,338,20.33707664399945,4,1032,0.0,6
2020-01-01 08:00:00+01:00,413,49,364,19.953327551024692,386,45,341,23.082433245575533,4,1032,0.0,6
2020-01-01 09:00:00+01:00,277,32,245,22.842683015901265,266,25,241,19.44559969107549,4,1032,0.0,6
2020-01-01 10:00:00+01:00,227,26,201,21.978956980369183,222,27,195,23.940731731626443,4,1032,0.0,6
2020-01-01 11:00:00+01:00,278,34,244,21.643694281450568,266,25,241,19.44559969107549,4,1032,0.0,6
2020-01-01 12:00:00+01:00,227,26,201,21.978956980369183,222,27,195,23.940731731626443,4,1032,0.0,6
2020-01-01 13:00:00+01:00,233,29,204,22.38619160570368,205,20,185,18.29833304368066,4,1032,0.0,6
2020-01-01 14:00:00+01:00,233,31,202,22.38619160570368,205,20,185,18.29833304368066,4,1032,0.0,6
2020-01-01 15:00:00+01:00,257,34,223,23.082421553922877,236,28,208,11.423053117408324,4,1032,0.0,6
2020-01-01 16:00:00+01:00,277,32,245,22.842683015901265,266,25,241,19.44559969107549,4,1032,0.0,6
