ts,avg_nb_vehicules_in_per_hour,nb_trucks_in,nb_cars_in,avg_waiting_in,avg_nb_vehicules_out_per_hour,nb_trucks_out,nb_cars_out,avg_waiting_out
2020-01-01 00:00:00+01:00,38,4,34,7.590795833711637,34,3,31,11.019687492562438
2020-01-01 01:00:00+01:00,25,3,22,4.851536786659508,25,2,23,4.851536786659508
2020-01-01 02:00:00+01:00,25,2,23,4.851536786659508,25,2,23,4.851536786659508
2020-01-01 03:00:00+01:00,38,4,34,7.590795833711637,34,3,31,11.019687492562438
2020-01-01 04:00:00+01:00,63,7,56,13.630126271531418,62,6,56,12.779859753427614
2020-01-01 05:00:00+01:00,114,13,101,17.516346710171707,112,12,100,16.537505199847164
2020-01-01 06:00:00+01:00,140,19,121,17.88117043007633,141,14,127,16.082921323202
2020-01-01 07:00:00+01:00,214,24,190,24.48806340301503,203,19,184,21.5050173548228
2020-01-01 08:00:00+01:00,226,28,198,20.105295377891462,220,27,193,18.729640796362187
2020-01-01 09:00:00+01:00,153,19,134,18.89706115395996,139,16,123,21.474746575274906
2020-01-01 10:00:00+01:00,126,17,109,16.250667590352332,123,13,110,15.262138605096247
2020-01-01 11:00:00+01:00,153,18,135,18.89706115395996,139,16,123,21.474746575274906
2020-01-01 12:00:00+01:00,126,17,109,16.250667590352332,123,13,110,15.262138605096247
2020-01-01 13:00:00+01:00,127,15,112,19.95892802947898,120,14,106,10.291257377501918
2020-01-01 14:00:00+01:00,127,16,111,19.95892802947898,120,14,106,10.291257377501918
2020-01-01 15:00:00+01:00,140,18,122,17.88117043007633,141,14,127,16.082921323202
2020-01-01 16:00:00+01:00,151,17,134,19.198981193831877,149,16,133,18.476483571588744
2020-01-01 17:00:00+01:00,217,26,191,20.47500927792046,213,24,189,16.70464389525102
2020-01-01 18:00:00+01:00,232,26,206,24.606618615768106,205,22,183,18.29833304368066
2020-01-01 19:00:00+01:00,167,22,145,16.493575022686013,154,14,140,25.102227050596255
2020-01-01 20:00:00+01:00,167,21,146,16.493575022686013,154,14,140,25.102227050596255
2020-01-01 21:00:00+01:00,129,16,113,12.321757402623772,125,13,112,14.698947587184879
2020-01-01 22:00:00+01:00,89,11,78,16.127888447212325,79,9,70,16.621554061874914
2020-01-01 23:00:00+01:00,63,8,55,13.630126271531418,62,6,56,12.779859753427614
2020-01-02 00:00:00+01:00,35,2,33,7.122002820118646,36,5,31,3.0873599992209124
2020-01-02 01:00:00+01:00,23,1,22,0.4122417358964417,25,3,22,1.1875344360364632
2020-01-02 02:00:00+01:00,25,2,23,1.1875344360364632,25,3,22,1.1875344360364632
2020-01-02 03:00:00+01:00,37,3,34,2.066086063070793,38,5,33,11.101073107969722
2020-01-02 04:00:00+01:00,59,5,54,10.572210467564378,58,7,51,10.505136369992313
2020-01-02 05:00:00+01:00,106,9,97,12.94750706735717,114,18,96,18.09348958441383
2020-01-02 06:00:00+01:00,124,11,113,17.53992981591413,129,19,110,17.995114557081255
2020-01-02 07:00:00+01:00,195,14,181,23.83440770251287,216,27,189,21.273439412003903
2020-01-02 08:00:00+01:00,212,19,193,18.597605283865732,231,33,198,16.702836426900134
2020-01-02 09:00:00+01:00,140,10,130,15.331768592489755,140,20,120,15.331768592489755
2020-01-02 10:00:00+01:00,109,9,100,14.645038576883659,117,15,102,21.891304075969387
2020-01-02 11:00:00+01:00,150,12,138,17.939622434692456,153,18,135,14.915022999208679
2020-01-02 12:00:00+01:00,115,8,107,27.52702584121565,121,19,102,20.317620945183666
2020-01-02 13:00:00+01:00,122,9,113,20.245567873519157,128,19,109,19.601953989978306
